,date,open,close,high,low,volume,amount,amplitude,flucrange,flucamount,turnoverrate,Date,SMA,SD,Upper_band,RSI,M12
101,2010-06-03,2769.1,2736.08,2787.51,2735.7,39587258,47143262922.0,1.88,-0.78,-21.45,0.13,2010-06-03,2801.732,53.706443953270224,2909.1448879065406,39.9881624476416,-0.012726649466866302
102,2010-06-04,2721.36,2744.39,2748.48,2713.09,32746291,39858363381.0,1.29,0.3,8.31,0.11,2010-06-04,2797.112,54.50032057849201,2906.112641156984,52.886579884420065,-0.006436968036000801
103,2010-06-07,2692.83,2695.72,2716.4,2673.34,39541993,47062703369.0,1.57,-1.77,-48.67,0.13,2010-06-07,2788.9865,56.96714965431715,2902.9207993086343,42.52623673340316,-0.011115105538477388
104,2010-06-08,2694.11,2699.34,2720.59,2672.06,35140182,42677104255.0,1.8,0.13,3.62,0.11,2010-06-08,2783.9125,60.28066827023232,2904.4738365404646,43.72214783877222,-0.025083159069485106
105,2010-06-09,2711.64,2782.13,2787.82,2687.33,60209533,70710080539.0,3.72,3.07,82.79,0.2,2010-06-09,2782.111,59.73925729456132,2901.5895145891227,55.12841604972124,-0.0317873511816722
106,2010-06-10,2755.94,2750.02,2776.26,2746.11,42906334,50312244286.0,1.08,-1.15,-32.11,0.14,2010-06-10,2775.2665,54.732294255532835,2884.731088511066,48.250340237513754,-0.022715480784949227
107,2010-06-11,2766.2,2758.87,2782.09,2755.95,40558585,48871478557.0,0.95,0.32,8.85,0.13,2010-06-11,2769.8089999999997,50.25555951440423,2870.320119028808,36.99382603958601,-0.01957042438715828
108,2010-06-17,2778.53,2742.73,2784.92,2742.64,32612356,40293233998.0,1.53,-0.59,-16.14,0.11,2010-06-17,2771.2095,49.014525395411106,2869.238550790822,41.035324923836164,-0.04099679018734392
109,2010-06-18,2739.03,2696.17,2755.84,2686.61,41808344,50256350918.0,2.52,-1.7,-46.56,0.14,2010-06-18,2767.4505,51.80650004686508,2871.06350009373,36.7295427399545,-0.0540750096481073
110,2010-06-21,2698.98,2780.66,2784.47,2686.32,55261482,62809190519.0,3.64,3.13,84.49,0.18,2010-06-21,2768.375,51.872246255387026,2872.119492510774,41.77485586295573,0.0026683397878308757
