,date,close,open,high,low,flucamount,amplitude,turnoverrate,rv,rv_w,rv_m,SMA,SD,Upper_band,Lower_Band,RSI,M12,High-Low,High-Close Prev,Low-Close Prev,True Range,ATR
75,2024-02-23,3489.74,3491.34,3507.56,3472.97,3.07,0.99,0.4676,0.005301967,0.006282297,0.017775874,3315.238,96.55762237076205,3508.353244741524,3122.1227552584755,66.62189245661162,0.07540739097206806,34.590000000000146,20.889999999999873,13.700000000000273,34.590000000000146,67.60785714285718
76,2024-02-26,3453.36,3485.54,3492.61,3445.39,-36.38,1.35,0.4883,0.00539836,0.006481362,0.017627709,3324.417,100.64797710728938,3525.7129542145785,3123.1210457854213,65.70845775329103,0.07402304570264517,47.220000000000255,2.8700000000003456,44.34999999999991,47.220000000000255,67.59428571428579
77,2024-02-27,3494.79,3440.05,3494.79,3437.44,41.43,1.66,0.4505,0.004344068,0.00646088,0.016176488,3338.2115,104.26627043422604,3546.744040868452,3129.678959131548,77.26230760833974,0.08611092982276203,57.34999999999991,41.429999999999836,15.920000000000073,57.34999999999991,67.47714285714291
78,2024-02-28,3450.26,3499.83,3521.66,3450.26,-44.53,2.04,0.6129,0.013896728,0.006638812,0.016181948,3349.1279999999997,103.98212334212488,3557.0922466842494,3141.16375331575,74.83770009938895,0.08511367674855252,71.39999999999964,26.86999999999989,44.529999999999745,71.39999999999964,68.99000000000001
79,2024-02-29,3516.08,3437.9,3516.08,3437.9,65.82,2.27,0.5035,0.007262575,0.00724074,0.015204695,3361.0765,108.88535797728804,3578.8472159545763,3143.305784045424,77.81485969982295,0.09863080470688224,78.17999999999984,65.81999999999971,12.360000000000127,78.17999999999984,70.29857142857142
80,2024-03-01,3537.8,3515.06,3544.36,3503.46,21.72,1.16,0.5253,0.006042875,0.007388921,0.014656949,3370.8205000000003,115.68264863182279,3602.185797263646,3139.4552027363547,84.44008538625751,0.06827631813364188,40.90000000000009,28.2800000000002,12.61999999999989,40.90000000000009,64.14428571428572
81,2024-03-04,3540.87,3538.37,3548.69,3519.76,3.06,0.82,0.527,0.007895164,0.007888282,0.014001074,3381.173,121.3241285109746,3623.821257021949,3138.5247429780507,83.8911342505028,0.05898978056782589,28.929999999999836,10.889999999999873,18.039999999999964,28.929999999999836,57.47285714285714
82,2024-03-05,3565.51,3524.96,3570.69,3519.08,24.65,1.46,0.5373,0.006605433,0.008340555,0.013884264,3394.2504999999996,126.5470998430401,3647.34469968608,3141.1563003139195,80.53363487633538,0.059608966605546154,51.61000000000013,29.820000000000164,21.789999999999964,51.61000000000013,51.75285714285714
83,2024-03-06,3551.05,3556.53,3577.39,3545.1,-14.47,0.91,0.4619,0.004527466,0.006466703,0.013702431,3409.5510000000004,126.05541909476993,3661.66183818954,3157.4401618104607,76.04731766124179,0.0432574086097639,32.289999999999964,11.879999999999654,20.41000000000031,32.289999999999964,50.20499999999999
84,2024-03-07,3529.72,3548.1,3569.92,3522.9,-21.33,1.32,0.4782,0.004997554,0.006013699,0.013297197,3425.2695,120.02073073015441,3665.3109614603086,3185.228038539691,70.69238303322535,0.03485055044930152,47.01999999999998,18.86999999999989,28.15000000000009,47.01999999999998,51.404285714285706
